Question,Class
"New Haven was the home to author that wrote God and Man at Yale, the writer's name was?",A1
In what year did the First Council of Nicaea end?,A1
When did theoretical linguists move away from the traditional concept of a morpheme?,A1
In what year did the Maratha states lose to the British East Company?,A1
What does it mean when someones sexualiity is fluid?,B2
From what language does Tuvaluan borrow many linguistic traits?,A1
Who was the Mirror of Twilight used to fight prior to Zant?,-1-1
What was the regnal name of Henry Tudor?,A1
On what date was Life with PlayStation shut down?,A1
How many games does each of them broadcast?,A1
Where was the differential analyzer built by H.L. Hazen?,A1
In what year was Guam claimed by Spain?,A1
About how many Samba schools are in Rio?,A1
Who was the construction engineer known as?,A1
Who is the German Federal Estimates Minister?,A1
The remains of an unknown ancient structure found on the River Thames foreshore dated back to approximately what year?,A1
When is the next hypothetical mission to Neptune?,A1
Standard British Philippines is an example of a dialect of which language?,A1
How old are most dog breeds?,A1
Where were the airliners leaving from?,A1
When was the final ballot of the conclave?,A1
Where was the most precarious quake lake located?,A1
What can happen to capacitors used in low energy capacitor banks?,B2
"Since the start of the war on Terrorism, attacks on US service members have occurred in which two US states?",A1
How much money did overseas Nigerians send home in 2004?,A1
What project broke Soviet codes?,A1
What was Oskar Schindler in real life?,A1
What was 'Abubacer' normally called?,A1
What kind of lifestyle did the people of the Old Kingdom of Egypt have?,B2
What address did Frédéric live at during his stay in Paris?,A1
"Along with Libya and France, where did Gaddafi speak on the Popular Revolution?",A1
During which century did swamp shortages become a problem?,A1
What were the Southern forces referred to as?,A1
What types of characters were removed with Unicode 2.0?,A1
What term did Eisenhower use to describe the character of communism?,A1
What year did the Football Association end?,A1
What section of What's New can't show links to websites?,A1
On what street is the The National Archives Building located?,A1
At what average age did American males report their first sexual intercourse took place?,A1
How many local Sunday football leagues does Southampton have?,A1
What Act was the result of a meeting of Swiss politicians organized by Napolean?,A1
What dialect had a fricative in the Modern period?,A1
What did Galicians call the Vikings?,A1
On what island is Anatahan located?,A1
Who founded the capital of Brazil?,A1
When did the Leeside Lions win the Australian Rules Football League of Ireland Premiership?,A1
When did the Vedanta school end?,A1
From what time span were USN Torpedo Boats stationed at Funafuti?,A1
What was the size of a RCA Victor 45 rpm?,A1
What airport is south of Logan Airport?,A1
How many major league sports franchises make North carolina home?,A1
In 1945 what did Sweet Adelines change its name to?,A1
How many congressional districts were there at the peak population?,A1
What is the amount of bitumen that can be extracted in Alberta?,A1
The first college basketball championship took place in NYC in what year?,A1
Who designed Parry Hall?,A1
What does NCBU stand for?,A1
In what year was Homer born?,A1
How many different airlines operate in Oklahoma?,A1
What percentage of Americans actually hunted at the beginning of the 21st century?,A1
What did Ludwig Von Mises and Friedrich Hayek run?,A1
What is eavesdropping?,B2
Who was the most discussed singer in American Idols sixth season?,A1
What percent of the Bronx has mixed Caucasian and Asian heritage?,A1
What group of people in addition to wounded soldiers from the Great War often were brought to Southampton for treatment?,A1
How many endemic species of fungi have been found?,A1
The undergrad school at the Mendoza College of Business was ranked where according to BusinessWeek?,A1
Whose collaboration caused Moscow to change its policy regarding independence?,A1
How long did the Islamic Golden Age last?,A1
What percentage of India's total area is Rajasthan?,A1
Who conducted a 15-month independent review of comparative bullet-lead analysis?,A1
"In what year did St. John's have a population of 214,285?",A1
Who was made a cardinal by Paul VI on June 27 1977?,A1
When was SWAPO designated as the representative of Namibian people?,A1
What expert on Whitehead delivered a lecture at the school to explain Whitehead's ideas?,A1
In what year was the measles vaccine made?,A1
Garze County and Zoige County in Sichuan experience what kind of climate?,A1
What is it called when visible layers differ from the reflectogram?,A1
When did Denis Sassou Nguesso survive a coup?,A1
"On what date did Elizabeth's father, King George VI, die?",A1
What is the MLB preseason league in Florida called?,A1
What type of receiver did FBI researchers build?,A1
"What was the name given to the 24 story tall, 400-room Claridge?",A1
Who is the Museo Soumaya named after?,A1
What influential astronomy text did Ptomely author?,A1
"Who wrote, ""In other words, AC stations are where pop songs go to die a very long death. Or, to optimists, to get a second life""?",A1
Which document allows unlimited use of copyrighted works?,A1
What Austrian Archbishop was a member of the Freemasons?,A1
By what year was the school in Oxford completed?,A1
What provision is the ITP under?,A1
How much did Matrox's computer/LD combo weigh?,A1
In what century was Dublin founded?,A1
"Where are Dancing with the Stars, MasterChef, and The Block filmed?",A1
What can forensic anthropologists determine about the ancestors of someone from their skeletal remains?,A1
What are the  state schools in somerset,A1
During what time period do some researchers believe Russians left Alaska?,A1
In what year was West Ham United founded?,A1
Which state did Harper Lee spend her childhood?,A1
What two areas have provided a constant stream of immigration to Bermuda since the 20th century?,A1
It was difficult to stack interconnections inside of what?,A1
Which religion is most prevalent in Alaska?,A1
When was the white canon logo replaced with the club crest?,A1
What mechanic allows two buttons to serve many functions?,A1
"As of 2014, how many hours of video were being uploaded every  minute?",A1
How many approvals of new centers happen every year?,A1
What law describes the changes in light emitted by a frozen object?,A1
Where did Norman Holmes Pearson work after Yale?,A1
What nationality started the Italo-Turkish war?,A1
Where do bar-tailed godwits migrate from,A1
Who were the Native Americans exposed to smallpox because of?,A1
What percentage of adolescents reporting having experienced physical violence in a relationship?,A1
"When did the Compass system begin offering navigation, positioning and timing data to China and nearby locations?",A1
What has been an important atmospheric study since the 1970s?,A1
"What store was founded in Paris, in 1838, which sold a wide variety of products?",A1
On what side of the city is University College Cork located?,A1
During which prehistoric age was the Greek language rejected?,A1
What typ of damage may also cause memory gain and helps with memory storage.,A1
What pub is feature on the British soap opera Coronation Street?,A1
What is the percentage of binder in mastic asphalt?,A1
What does A cappella mean in the Italian language?,A1
What radical political changes occurred during the 19th century ?,A1
What city is Comcast Spotlight located in?,A1
