Question,Class
Decomposers are important in the food chain because they?,B2
What aspect of the DNA molecule encodes hereditary information concerning an organism's traits?,A1
A lamp converts electrical energy to light energy In addition to the light energy much of this electrical energy is also converted to?,B1
What was another name for gin houses early in the 19th century?,A1
Which structure best protects a cactus from being eaten by animals?,A1
An automobile engine transforms chemical energy of fuel primarily into?,A1
Beryl finds a rock and wants to know what kind it is Which piece of information about the rock will best help her to identify it?,A3
What is the function of skin on the human body?,B2
Which type of light can cause severe eye damage if it is viewed directly?,A1
Actin filaments are part of the contractile machinery in smooth muscle cells of eukaryotic organisms Which organelle is responsible for contractile movement in these cells?,B1
Diamonds are formed when carbon is placed under extreme heat and pressure This process occurs?,B1
Which object will conduct electricity conduct heat and be attracted to a magnet?,B1
A butterfly lays an egg The egg hatches into a larva The larva becomes a pupa and then changes into a butterfly This process is called?,A1
An increase in tourism and agriculture in the Florida Everglades most likely had which effect?,B2
Which process will directly result in organic matter being added to the soil?,B1
Solar energy is referred to as the energy of the future because?,B2
The sound made by crickets occurs when the male crickets rubs its two hind legs together Which type of energy transformation results in the sound made by crickets?,B1
Granite is a hard material and forms from cooling magma Granite is a type of?,A1
Which tool would best separate sand and clay mixed in soil?,B1
What is the smallest unit of an element that retains the properties of that element?,A1
What is the term for the amount of heat per unit mass required to raise the temperature of a material by one degree Celsius?,A1
In which type of blood vessel is blood pressure normally monitored?,A1
Most hormones are produced by which human organ system?,A1
Mr Harris mows his lawn twice each month He claims that it is better to leave the clippings on the ground Which long term effect will this most likely have on his lawn?,B1
The barred owl has been moving into the habitat of the spotted owl This could lead to a reduction in the spotted owl population if the?,B2
Which measurement is best expressed in light-years?,A1
Which factor causes global wind patterns?,A1
When astronomers want to measure the distance between nearby stars they often use?,A1
Which kind of events can form mountains?,A1
Where in the cell does glycolysis occur?,A1
What object is made of hot gas and is the most massive object in our solar system?,A1
An increase in greenhouse gases which are believed to cause global warming is due to a change in which occurrence?,A1
A young boy and his brothers have green eyes This trait is best described as?,B1
Scientists have observed an increase in global temperatures over the past 100 years Which phenomena do scientists believe contributes to the increase in temperatures?,A1
Asbestos fibers cause a cancer called mesothelioma in humans The fibers kill cells that line lung tissue by causing programmed-cell death When cells die this way they release a chemical HMG1 which causes an inflammatory response in other cells During this inflammatory response cells release chemicals that promote tumor growth What conclusion can you draw about the chemicals released in the inflammatory response?,C5
A student placed a small chip of limestone into a hydrochloric acid solution and carbon dioxide gas was released The carbon dioxide provided evidence that?,B2
Earth along with the other planets revolves around the Sun The planets revolve in a counterclockwise direction The cause of the revolution is mostly due to which force?,B1
Melinda learned that days in some seasons have more daylight hours than in other seasons Which season receives the most hours of sunlight in the Northern Hemisphere?,A1
Which process accounts for the expansion and contraction of rocks?,A1
Which characteristic is exclusive to chordates?,A1
A sample of the element copper is divided into the smallest particles possible such that each particle is still copper Each particle can best be described as?,A1
Charged particles formed during a chemical reaction are called?,A1
A scientific guess about the cause and effect of an event is called?,A1
The element cesium Cs is an alkali metal Which chemical formula represents a cesium compound that is likely to exist?,A1
When light reaches an eyeglass lens the light is?,A1
In humans where does the absorption of food into the blood stream mainly take place?,A1
A student placed an ice cube on a plate in the sun Ten minutes later only water was on the plate Which process caused the ice cube to change to water?,A1
To make an electromagnet a conductor should be coiled around -?,A1
Geotropism is a response by plants to which force?,A1
Martin grew some bean plants He made a list of what the bean plants needed to survive and grow Which gas do the plants need when they make their own food?,A1
Which generates waves that are capable of traveling through a vacuum?,A1
What tool best allows a geologist to study coastal erosion caused by recent hurricanes?,A1
Rabies can lead to an infection of the brain This directly causes problems in the?,A1
Students run laps around the track in physical education class After a few laps the students' breathing gets heavier and their pace begins to slow The students are most likely slowing down because?,B2
In an electric motor electrical energy is converted into?,A1
A student hypothesizes that algae are producers Which question will best help the student determine if this is correct?,-1-1
A black brick exposed to sunlight becomes warm How is energy from the Sun transferred to the brick?,B2
In what way can forest fires affect the lithosphere?,B2
The cells of a plant help the plant maintain its life functions What part of a plant cell has the function of producing sugar in the presence of sunlight?,A1
The force of gravitational attraction between Earth and any object on Earth is measured as?,A1
A single human body cell typically contains thousands of?,A1
Earth's atmosphere is made of many gases Which gas do producers use to make food?,A1
How do toxic heavy metals move from soil to lakes and streams?,B2
If the environment in an area is destroyed a new community of organisms sometimes takes the place of previous communities The introduction of a new community of organisms is known as?,A1
Which energy resource is considered non-renewable?,A1
Which action does a kitten learn from its mother?,A1
In which layer of Earth's atmosphere does weather occur?,A1
The muscles exert forces on the body and enable movement by?,B2
A telescope would be most useful in answering which question?,B1
After fossils are formed which process is most likely to destroy them?,B1
Which method is the best safety procedure when working around open flames?,B2
Which is made by plants to attract pollinators to flowers?,A1
How is a pond different from a lake?,B2
Bone cells need nutrients Which two systems get nutrients to bone cells?,A1
Tides on Earth are influenced more by the Moon than the Sun because the Moon is?,B2
Tides such as those along the coast of Massachusetts are caused by gravitational attractions acting on Earth Why is the gravitational attraction of the Moon a greater factor in determining tides than the gravitational attraction of the much larger Sun?,B2
When a person is infected with the influenza virus the immune system defends the body through a cell-mediated immune response Which immune cell is responsible for protecting the body from the influenza virus infection?,A1
When notebook paper is folded to make an airplane what physical property of the paper changes?,A1
Scientists believe that oceans once covered much of what is now land which of these things found on land led scientists to believe this?,A1
