Question,Class
"New Haven was the home to author that wrote God and Man at Yale, the writer's name was?",EASY
What is the largest denomination church in Vanuatu?,EASY
In what year did the First Council of Nicaea end?,EASY
When did theoretical linguists move away from the traditional concept of a morpheme?,EASY
What do East Asians have to thank for their relatively light skin?,EASY
In what year did the Maratha states lose to the British East Company?,EASY
What does it mean when someones sexualiity is fluid?,DIFFICULT
From what language does Tuvaluan borrow many linguistic traits?,EASY
What was the regnal name of Henry Tudor?,EASY
How is Victoria related to Elizabeth?,EASY
On what date was Life with PlayStation shut down?,EASY
How many games does each of them broadcast?,EASY
Where was the differential analyzer built by H.L. Hazen?,EASY
In what year was Guam claimed by Spain?,EASY
About how many Samba schools are in Rio?,EASY
Who was the construction engineer known as?,EASY
Who is the German Federal Estimates Minister?,EASY
What action by a pub owner can result in his prosecution?,EASY
The remains of an unknown ancient structure found on the River Thames foreshore dated back to approximately what year?,EASY
What did Lamb employ as an important theme from the beginning of the paper?,EASY
When is the next hypothetical mission to Neptune?,EASY
Standard British Philippines is an example of a dialect of which language?,EASY
Henry II wanted to secure the southern borders of what?,EASY
How old are most dog breeds?,EASY
Where were the airliners leaving from?,EASY
When was the final ballot of the conclave?,EASY
After what political upheaval was gin introduced to England?,EASY
Where was the most precarious quake lake located?,EASY
What can happen to capacitors used in low energy capacitor banks?,DIFFICULT
"Since the start of the war on Terrorism, attacks on US service members have occurred in which two US states?",EASY
How much money did overseas Nigerians send home in 2004?,EASY
What project broke Soviet codes?,EASY
What was Oskar Schindler in real life?,EASY
What was 'Abubacer' normally called?,EASY
What kind of lifestyle did the people of the Old Kingdom of Egypt have?,DIFFICULT
What address did Frédéric live at during his stay in Paris?,EASY
"Along with Libya and France, where did Gaddafi speak on the Popular Revolution?",EASY
During which century did swamp shortages become a problem?,EASY
What did Wii offer that PS3 couldn't compete with?,EASY
What were the Southern forces referred to as?,EASY
What types of characters were removed with Unicode 2.0?,EASY
What is the type of symbiotic relationship where two organisms can't survive without each other?,EASY
What term did Eisenhower use to describe the character of communism?,EASY
What year did the Football Association end?,EASY
Under whom did the Western part of Umayyad Caliphate's empire gain its independence?,EASY
What section of What's New can't show links to websites?,EASY
On what street is the The National Archives Building located?,EASY
What do Johnson & Johnson marketing cases fall under?,EASY
At what average age did American males report their first sexual intercourse took place?,EASY
How many local Sunday football leagues does Southampton have?,EASY
What Act was the result of a meeting of Swiss politicians organized by Napolean?,EASY
What dialect had a fricative in the Modern period?,EASY
What is the annual Montevideo Carnaval part of?,EASY
On what island is Anatahan located?,EASY
Who founded the capital of Brazil?,EASY
When did the Leeside Lions win the Australian Rules Football League of Ireland Premiership?,EASY
Where do Presbyterians in Scotland mostly come from?,EASY
When did the Vedanta school end?,EASY
From what time span were USN Torpedo Boats stationed at Funafuti?,EASY
What was the size of a RCA Victor 45 rpm?,EASY
Which part of a Linux computer is the firewall built into?,EASY
What airport is south of Logan Airport?,EASY
How many major league sports franchises make North carolina home?,EASY
"Before the use of the cotton gin, how were bales separated?",DIFFICULT
In 1945 what did Sweet Adelines change its name to?,EASY
How many congressional districts were there at the peak population?,EASY
What is the amount of bitumen that can be extracted in Alberta?,EASY
The first college basketball championship took place in NYC in what year?,EASY
Who designed Parry Hall?,EASY
What does NCBU stand for?,EASY
In what year was Homer born?,EASY
How many different airlines operate in Oklahoma?,EASY
What percentage of Americans actually hunted at the beginning of the 21st century?,EASY
What did Ludwig Von Mises and Friedrich Hayek run?,EASY
What is eavesdropping?,DIFFICULT
Who was the most discussed singer in American Idols sixth season?,EASY
What percent of the Bronx has mixed Caucasian and Asian heritage?,EASY
What group of people in addition to wounded soldiers from the Great War often were brought to Southampton for treatment?,EASY
How many endemic species of fungi have been found?,EASY
The undergrad school at the Mendoza College of Business was ranked where according to BusinessWeek?,EASY
Whose collaboration caused Moscow to change its policy regarding independence?,EASY
How long did the Islamic Golden Age last?,EASY
What percentage of India's total area is Rajasthan?,EASY
Who conducted a 15-month independent review of comparative bullet-lead analysis?,EASY
"In what year did St. John's have a population of 214,285?",EASY
Who was made a cardinal by Paul VI on June 27 1977?,EASY
When was SWAPO designated as the representative of Namibian people?,EASY
What expert on Whitehead delivered a lecture at the school to explain Whitehead's ideas?,EASY
In what year was the measles vaccine made?,EASY
Garze County and Zoige County in Sichuan experience what kind of climate?,EASY
What is it called when visible layers differ from the reflectogram?,EASY
What type of weather systems in Boston can produce much snow and rain?,EASY
When did Denis Sassou Nguesso survive a coup?,EASY
"On what date did Elizabeth's father, King George VI, die?",EASY
What is the MLB preseason league in Florida called?,EASY
What type of receiver did FBI researchers build?,EASY
"What was the name given to the 24 story tall, 400-room Claridge?",EASY
Who is the Museo Soumaya named after?,EASY
What is always a mixture of metal and other elements?,EASY
What influential astronomy text did Ptomely author?,EASY
"Who wrote, ""In other words, AC stations are where pop songs go to die a very long death. Or, to optimists, to get a second life""?",EASY
Who's temples are influenced by Khmer and Mon traditions?,EASY
What do doctors usually do when a patient seems to want antibiotics even though they may not be right?,DIFFICULT
Which document allows unlimited use of copyrighted works?,EASY
What Austrian Archbishop was a member of the Freemasons?,EASY
By what year was the school in Oxford completed?,EASY
What concept took shape during Walpole's tenure as prime minister?,EASY
What provision is the ITP under?,EASY
How much did Matrox's computer/LD combo weigh?,EASY
In what century was Dublin founded?,EASY
"Where are Dancing with the Stars, MasterChef, and The Block filmed?",EASY
The study of syllable structure is part of what discipline?,EASY
What can forensic anthropologists determine about the ancestors of someone from their skeletal remains?,EASY
"In present times, which group is know to use shape notes in religious services?",EASY
"What's the English type equivalent for the Dutch word order that is an interrogative pronoun/expression, then a verb followed by a subject?",EASY
What are the  state schools in somerset,EASY
"Two other ethnic minorities were massacred during Ottoman ethnic cleansing, what were they?",EASY
During what time period do some researchers believe Russians left Alaska?,EASY
"How does the French Invader create ""Rubikcubism"" styled mosaics?",DIFFICULT
Where did The Sun offer to fly gay men in 1987?,EASY
In what year was West Ham United founded?,EASY
Which state did Harper Lee spend her childhood?,EASY
What two areas have provided a constant stream of immigration to Bermuda since the 20th century?,EASY
It was difficult to stack interconnections inside of what?,EASY
Which religion is most prevalent in Alaska?,EASY
When was the white canon logo replaced with the club crest?,EASY
What mechanic allows two buttons to serve many functions?,EASY
How many steps did Nasser take in preparation for war?,EASY
"As of 2014, how many hours of video were being uploaded every  minute?",EASY
How many approvals of new centers happen every year?,EASY
What law describes the changes in light emitted by a frozen object?,EASY
Who was Lord Halifax in 1940?,EASY
Where did Norman Holmes Pearson work after Yale?,EASY
What nationality started the Italo-Turkish war?,EASY
Who is an American Tibetologist?,EASY
Where do bar-tailed godwits migrate from,EASY
Who were the Native Americans exposed to smallpox because of?,EASY
What is a popular grain source for brewing beer in Mexico?,EASY
What percentage of adolescents reporting having experienced physical violence in a relationship?,EASY
"When did the Compass system begin offering navigation, positioning and timing data to China and nearby locations?",EASY
What has been an important atmospheric study since the 1970s?,EASY
"What store was founded in Paris, in 1838, which sold a wide variety of products?",EASY
On what side of the city is University College Cork located?,EASY
During which prehistoric age was the Greek language rejected?,EASY
What typ of damage may also cause memory gain and helps with memory storage.,EASY
What pub is feature on the British soap opera Coronation Street?,EASY
In what type of applications is piezeoelectricity never problematic?,EASY
What is the percentage of binder in mastic asphalt?,EASY
When did conditions become difficult for mosaic art in Rome?,EASY
What does A cappella mean in the Italian language?,EASY
What radical political changes occurred during the 19th century ?,EASY
What college is Archives II closest to?,EASY
What city is Comcast Spotlight located in?,EASY
Who was commonly considered by some to be social parasites?,EASY
What is the length of 14th Street in miles?,EASY
Tin or zinc atoms in place of copper atoms create?,EASY
Which composer had an effect named after him?,EASY
Who gave the most speeches of any Egyptian leader?,EASY
What artist's return to Marvel was announced at this event?,EASY
What usually happens regarding a championship during a draw?,DIFFICULT
When was Sobhuza coronated?,EASY
Spectre is pitted against which global crime organization?,EASY
Which document was filed at the supreme court of the China?,EASY
What set the stage for the North-South confrontation?,EASY
What charter is said to be the first establishing education in a university?,EASY
Where were religious plays banned in 1548?,EASY
Who were the leaders of the Age of Awakening?,EASY
How many poems by Virgil still exist today?,EASY
In what year was the World War I Memorial Carillon constructed?,EASY
"Along with urban and rhythmic dance tracks, what genre is featured on hot AC stations with a younger audience?",EASY
What was Philip V known as?,EASY
Which Alaskan indigenous group is not well-known for their art?,EASY
Who had issues with JFK's rejection?,EASY
What was the only naval defeat EIC had?,EASY
Where is St. Elizabeths medical center located?,EASY
Who were the defending champions of the Arena Football League?,EASY
What is the most popular language in Nigeria?,EASY
In what year did the title of Duke of Lancaster get merged into the Crown?,EASY
"Kelly uses the the category ""immediate return"" hunter-gatherers for what?",EASY
When did Karl Buhler earn a doctorate in psychology?,EASY
How many years was he exiled?,EASY
When was the Third Great Awakening?,EASY
What is not provided by the Royal Institute anymore?,EASY
What  was the first full season of American Idol to air in high definition?,EASY
"When was ""The Aims of Education and Other Essays"" published?",EASY
Who banned Saurez for four months after he bit another player?,EASY
When did the North Carolina Constitution disestablish the Anglican church?,EASY
What famous NY city landmark is made from copper?,EASY
What test was used to determine if someone was coloured or black?,EASY
Whose philosophy heavily influenced Hayek?,EASY
What does the acronym PCR expand to?,EASY
What old type of construction allowed the making of skyscrapers?,EASY
In what building was the Melbourne Internation Exhibition of 1880 held?,EASY
Who is an acclaim role model business woman?,EASY
What purpose does the CJIS serve?,DIFFICULT
What language do the Yi people speak?,EASY
The stain from a knot bleeding is usually brownish or what other color?,EASY
Orthodox Jewish groups reject what precedent?,EASY
Which inventor went bankrupt?,EASY
What did the creation of the Canada Not-for-Profit Corporations Act mean for NPOs?,DIFFICULT
What was Victoria's opinion of Albert's appearance?,DIFFICULT
How did the Good Friday earthquake compare to other documented earthquakes in the world?,DIFFICULT
"Even though Gomer is rendered as Germania in the Yoma tractate of the Babylonian Talmud, in other rabbinical literature it was identified with what?",EASY
"What is 1734 design is considered one of the finest example of Palladian architecture in England, built in Norfolk?",EASY
"In 2010, how many death sentences were never overturned due to reversals from courts or appeals?",EASY
"From a Marxist view, what did they believe had to be controlled  to essentially control a culture?",DIFFICULT
Who first reached Bermuda in 1305?,EASY
"In Iran's western Zagros Basin, what are the average daily temperatures during winter?",EASY
Who can't handle the ball with his hands?,EASY
How big is Fiji?,EASY
How much was 1 US Dollar worth in Iranian Rials in April 2013?,EASY
"Besides Eritreans, which other nationality increased its city population because of new industries?",EASY
What happened in the nineteenth century the Gregorian calendar that made it necessary to give dates using both calendars?,DIFFICULT
What type of clothing were sent as a tribute to the Xiongnu?,EASY
When did Harper Lee pass away?,EASY
"Where was the 67-member ""presidency"" located?",EASY
What has been the Arsenal crest since 1925?,EASY
"Prior to 7th century, what was primary religion of Egypt?",EASY
"When the clock on your laptop adjusts to DST without you resetting the clock, what is controlling the change?",EASY
How many constituencies had run-off elections?,EASY
In what country is the US's Task Force Smith located?,EASY
What station did Mike Marino work for in 1997?,EASY
In what year did George Carey become the Archbishop of Canterbury?,EASY
What can never be used as a count noun?,EASY
How is cladistics similar to the stemmatic method?,DIFFICULT
Where were the soybeans coming from?,EASY
What liquid did Bell use in his first application?,EASY
"RAF bombers had trouble flying at night, so the British believe the Germans would do what?",DIFFICULT
Which frequency bands are most likely to cause issues of inter-system interference with the Galileo system?,EASY
How many temples are present in Kathmandu's Durbar Square?,EASY
What was the continent that came to be North America and Europe called during the Carboniferous?,EASY
What invention improved the cotton industry in both America and Britain?,EASY
